primaryTitle,authorName,contentType,status,tags,totalChapters,currentChapterNumber,currentChapterLabel,rating,priority,description,notes,rawImportedLine
Katsute Mahou Shoujo to Aku wa Tekitai shite Ita.,,Manga,Completed,,21,21,,,,,,87. Katsute Mahou Shoujo to Aku wa Tekitai shite Ita. 20 (21) ✓
Kawaii Joushi wo Komarasetai,,Manga,Reading,,,41,,,,,release_frequency=~40,253.Kawaii Joushi wo Komarasetai 41 ~40
"Keep a Low Profile, Sect Leader",,Manga,Reading,,,21,,,,,,"460. Keep a Low Profile, Sect Leader 21"
Kenja ga Nakama ni Natta,,Manga,Reading,,,29,,,,,,485. Kenja ga Nakama ni Natta 29
Keyboard Immortal,,Novel,Reading,,,448,,8,2,,,1.60. Keyboard Immortal 448 💯 ⭐ ⭐
Kidnapped Dragons Special,,Novel,Completed,,454,454,,9,,,,1.105. Kidnapped Dragons Special 9 (454) ✓ 💯💯
Kill the Hero,,Manga,Reading,,,53,,,,,,348. Kill the Hero 53
King Killer Reborn,,Manga,Reading,,,83,,,,,,325. King Killer Reborn 83
King Of Apocalypse,,Manga,Reading,,,239,,,,,,294. King Of Apocalypse 239
"Kiss De Fusaide, Bare Naide.",,Manga,Reading,,,10,,,,,,"389. Kiss De Fusaide, Bare Naide. 10"
Kiss x Death,,Manga,Reading,,,82,72.5,,,,release_frequency=~33,176.Kiss x Death 72.5 (82) ~33
Koko Ga Uwasa no El Palacio,,Manga,Completed,,53,53,,,,,,266.Koko Ga Uwasa no El Palacio 53 ✓
Konjiki no Word Master: Yuusha Yonin ni,,Manga,Reading,,,40,,,,,,46.Konjiki no Word Master: Yuusha Yonin ni 40
"Kou 2ni Time Leaped Shita Ore ga, Touji suki Datta Sensei ni Kokutta Kekka",,Manga,Reading,,,10,,,,,,"208.Kou 2ni Time Leaped Shita Ore ga, Touji suki Datta Sensei ni Kokutta Kekka 10 ~?"
Kou-1 desu ga Isekai de Joushu Hajimemashita,,Manga,Reading,,,30,,,,,release_frequency=~51,173.Kou-1 desu ga Isekai de Joushu Hajimemashita 30 ~51
Kuchi ga Saketemo Kimi ni wa,,Manga,Reading,,,23,r2020,,,,r2020,398. Kuchi ga Saketemo Kimi ni wa (r2020) 23
Kuro no Shoukanshi,,Manga,Reading,,,33,,,,,release_frequency=~16,260.Kuro no Shoukanshi 33 ~16
"Kurogyaru x Iketori - Iku, Mou, Icchau kara... tsu!",,Manhwa,Completed,h-manhwa,9,9,,,,,,"1.1.32 Kurogyaru x Iketori - Iku, Mou, Icchau kara... tsu! 9 ✓"
Kusanagi-sensei Is Being Tested,,Manga,Reading,,,103,,,,,release_frequency=~11,184.Kusanagi-sensei Is Being Tested 103 ~11
"Kuzumi-kun, Can't You Read the Room?",,Manga,Reading,,,57,48,,,,,"41.Kuzumi-kun, Can't You Read the Room? 48 (57)"
Kyoudai hodo Chikaku Tooimono wa Nai,,Manga,Reading,,,61,,,,,release_frequency=~7,159.Kyoudai hodo Chikaku Tooimono wa Nai 61 ~7
Lang Huan Library,,Manga,Reading,,,56,57,,,,release_frequency=~5,259.Lang Huan Library 56 (57) ~5
Learning the Hard Way,,Manhwa,Reading,h-manhwa,,82,,,,,,1.1.40 Learning the Hard Way 82
Legend of the Asura,,Novel,Completed,,,742,,,,,,1.50. Legend of the Asura 742 ✓
Legend of the Great Sage,,Novel,Reading,,,1528,,,,,,1.87. Legend of the Great Sage 1528
Legend of the Tyrant Empress,,Manga,Reading,,,89,,,1,,,459. Legend of the Tyrant Empress 89 ⭐
Legend: The Beginning,,Manga,Reading,,,45,,,,,,241.Legend: The Beginning 45  ~?
Let's play (Mongie),,Manga,Reading,,,73,69,,,,,23.Let's play (Mongie) 69 (73)
Library of Heaven's Path,,Manga,Reading,,,125,,,,,,493. Library of Heaven's Path 125
Life Howling,,Manga,Reading,,,57,,,,,,56.Life Howling 57
Life Of A War Emperor After Retirement,,Manga,Reading,,,63,,,2,,,369. Life Of A War Emperor After Retirement 63 ⭐⭐
Life Simulation: I Caused the Female Sword Immortal to Regret Forever,,Novel,Reading,,,279,,,,,,1.206. Life Simulation: I Caused the Female Sword Immortal to Regret Forever 279
List of Villains,,Manga,Reading,,,61,,,,,,335. List of Villains 61
Live Stream Kidnapping of a Female Celebrity,,Novel,Reading,,,188,,,,,,1.212. Live Stream Kidnapping of a Female Celebrity 188
Live together,,Manhwa,Reading,h-manhwa,,30,,,,,,1.1.65 Live together 30
Living with a MILF,,Manhwa,Reading,h-manhwa,,43,,,,,,1.1.60 Living with a MILF 43
Log in to Lust-a-Land,,Manhwa,Completed,h-manhwa,82,82,,9,,,,1.1.41 Log in to Lust-a-Land 82 ✓ 💯💯
Lord Of Mysteries,,Novel,Completed,,,1432,,8,1,,,1.179. Lord Of Mysteries 1432 ✓ 💯 ⭐
Love Letter from The Future,,Novel,Reading,,,93,,,,,,1.149. Love Letter from The Future 93
Love Options Pop Up Above Junior Sister’s Head,,Novel,Reading,,,140,,,1,,,1.216. Love Options Pop Up Above Junior Sister’s Head 140 ⭐
Love Theory,,Manga,Completed,,44,44,,,,,,82.Love Theory 43 (44) ✓
Love-X,,Manga,Reading,,,40,,,1,,,280.Love-X 40 ~? 🌟
Lovely Bokhee-ssi,,Manga,Completed,,76,76,,8,,,,195.Lovely Bokhee-ssi 75 (76) ✓ 💯
Lust Geass,,Manga,Reading,,,38,,,,,,477. Lust Geass 38
Magic Marriage,,Manga,Reading,,,25,13.3,,,,release_frequency=~23,151.Magic Marriage 13.3 (25) ~23
Magician From The Future,,Manga,Reading,,,77,,,,,,303. Magician From The Future 77
Magika Swordsman and Summoner,,Manga,Reading,,,50,,,,,,121.Magika Swordsman and Summoner 50
Makikomareta Unique Cheat,,Manga,Reading,,,47,49,,,,,277.Makikomareta Unique Cheat 47 (49)
Man of the House,,Novel,Reading,,,46,,,,,dziwnie się czyta przez zmianę podejść stron,1.76. Man of the House 46 (dziwnie się czyta przez zmianę podejść stron)
"Man Up,Girl!",,Manhwa,Reading,h-manhwa,,17,,,,,????????,"1.1.10 Man Up,Girl! 17 (????????)"
Manager Kim,,Manga,Reading,,,18,,,,,,508. Manager Kim 18
Maou Gakuen no Hangyakusha,,Manga,Reading,,,16,,,,,,417.  Maou Gakuen no Hangyakusha 16
Maou Gakuin no Futekigousha,,Manga,Reading,,,10,,,,,release_frequency=~22,247.Maou Gakuin no Futekigousha 10 ~22
"Maou no Ore ga Dorei Elf wo Yome ni Shita n daga, Dou Medereba Ii?",,Manga,Reading,,,38,,,2,,release_frequency=~36,"258.Maou no Ore ga Dorei Elf wo Yome ni Shita n daga, Dou Medereba Ii? 38 ~36 🌟 🌟"
Maou-sama no Machizukuri! ~Saikyou no Dungeon wa Kindai Toshi,,Manga,Reading,,,34,,,,,,408. Maou-sama no Machizukuri! ~Saikyou no Dungeon wa Kindai Toshi 34
Martial God's space,,Manga,Reading,,,35,,,,,,32.Martial God's space 35
Martial Legacy,,Manga,Reading,,,109,,,,,,25.Martial Legacy 109
Master of Legendary Realms,,Manga,Reading,,,105,,,1,,,267.Master of Legendary Realms 105 ~? 🌟
Max Level Returner,,Manga,Reading,,,20,,,,,,293. Max Level Returner 20
Mayabi,,Manga,Reading,,,25,,,,,,34.Mayabi 25
Mechanical God Emperor,,Novel,Reading,,,524,,,,,,1.44.Mechanical God Emperor 524
Meido no Koi wa Enma Shidai!,,Manga,Reading,,,16,18,,,,release_frequency=~53,254.Meido no Koi wa Enma Shidai! 16 (18) ~53
Melo Holic,,Manga,Completed,,75,75,,,,,,157.Melo Holic 73 (75) ✓
Memoirs of the Returnee,,Novel,Reading,,,345,,,1,,,1.171. Memoirs of the Returnee 345 ⭐
Memorize,,Manga,Reading,,,46,,8,1,,,295. Memorize 46 ⭐ 💯
Meng Shi Zai Cang,,Manga,Reading,,,221,,,1,,,320. Meng Shi Zai Cang 221 ⭐
Mercenary Enrollment,,Manga,Reading,,,60,,8,1,,,290. Mercenary Enrollment 60 ⭐  💯
Metropolitan Reverence,,Manga,Reading,,,98,,,,,,394. Metropolitan Reverence 98
Metropolitan System,,Manga,Reading,,,88,,,2,,release_frequency=~5,224.Metropolitan System 88 ~5 🌟 🌟
Miss Komi is Bad at Communication,,Manga,Reading,,,192,,,,,,5.Miss Komi is Bad at Communication 192
"Mo,don't run!",,Manga,Reading,,,10,,,1,,,"269.Mo,don't run! 10 ~? 🌟"
Mode II,,Manga,Completed,,71,71,,,1,,chyba skonczone,193.Mode II 71 ✓? 🌟
Monku no Tsukeyou ga Jak Love Comedy,,Manga,Reading,,,42,36,,,,,223.Monku no Tsukeyou ga Jak Love Comedy 36 (42) ~?
Moon's Labirynth,,Novel,Reading,,,291,,,,,,1.58. Moon's Labirynth 291
Moshi fanren,,Manga,Reading,,,123,,,,,release_frequency=~2,2.Moshi fanren 123 ~2
"Mr Devourer, Please Act Like a Final Boss",,Novel,Reading,,,33,,,,,,"1.164. Mr Devourer, Please Act Like a Final Boss 33"
Mr.Kang,,Manga,Reading,,,43,,,2,,,239.Mr.Kang 43 ~? 🌟 🌟
Mushoku Tensei: Jobless Reincarnation,,Manga,Reading,,,59,53,,,,release_frequency=~27,111.Mushoku Tensei: Jobless Reincarnation 53 (59) ~27
My 7Wives Are Forcing Me To Die,,Manga,Reading,,,9,,,,,,378. My 7Wives Are Forcing Me To Die 9
My Abandoned Disciples Came To Me,,Novel,Reading,,,88,,,,,,1.152. My Abandoned Disciples Came To Me 88
My Apprentice is A Pig,,Manga,Reading,,,35,,,,,,272.My Apprentice is A Pig 35 ~?
My Apprentice: Game over Again!,,Manga,Reading,,,23,,,1,,,273.My Apprentice: Game over Again! 23 ~? 🌟
My Apprentices are All Female Devils,,Manga,Reading,,,30,,,,,,471. My Apprentices are All Female Devils 30
My Beatiful Teacher,,Novel,Completed,,,2014,,9,,,,1.35.My Beatiful Teacher  2014 ✓ 💯 💯
My Boyfriend is Jinyiwei,,Manga,Reading,,,125,,,,,,26.My Boyfriend is Jinyiwei 125
My Brother Slipped Inside Me in The Bathtub,,Manhwa,Reading,h-manhwa,,24,,,,,,1.1.5 My Brother Slipped Inside Me in The Bathtub  24
My Cold and Beautiful CEO,,Novel,Reading,,,193,,,,,,1.33.My Cold and Beautiful CEO 193
My Cold and Elegant CEO Wife,,Novel,Reading,,,1263,,,,,,1.52. My Cold and Elegant CEO Wife 1263
My Dad Is Too Strong,,Manga,Reading,,,52,,,,,,330. My Dad Is Too Strong 52
"My Dad Married a Female CEO, and I Gained Four Older Sisters",,Novel,Reading,,,202,,,,,,"1.214. My Dad Married a Female CEO, and I Gained Four Older Sisters 202"
My Daily Cultivation Life with a Clumsy Female Disciple,,Novel,Reading,,,391,,,,,,1.211. My Daily Cultivation Life with a Clumsy Female Disciple 391
My Daughter is the Final Boss,,Novel,Reading,,,56,,,,,,1.159. My Daughter is the Final Boss 56
My Daughters are Regressors,,Novel,Reading,,,99,,,,,,1.168. My Daughters are Regressors 99
My Dear Vampire Lord,,Manga,Reading,,,30,,,,,,275.My Dear Vampire Lord 30 ~?
My Death Flags Show No Sign of Ending,,Manga,Reading,,,31,,,1,,,422. My Death Flags Show No Sign of Ending 31 ⭐
My Disciples Are All Villains,,Novel,Reading,,,1211,,,,,,1.121. My Disciples Are All Villains 1211
My Disciples are Super Gods,,Manga,Reading,,,79,,8,1,,,347. My Disciples are Super Gods 79 💯⭐
My Dungeon Life: Rise of the Slave Harem,,Novel,Reading,,,191,,,,,"naiwny bohater,więc przerwałem","1.75. My Dungeon Life: Rise of the Slave Harem 191 (naiwny bohater,więc przerwałem)"
My Entire Class Was Summoned to Another World except for Me,,Novel,Reading,,,167,166,,,,,1.6.My Entire Class Was Summoned to Another World except for Me 166 (167)
My Father In Law Is Lu Bu,,Novel,Reading,,,345,,,,,,1.55.My Father In Law Is Lu Bu 345
My Female Friend Who Crossed the Line,,Manhwa,Reading,h-manhwa,,32,,,,,,1.1.61 My Female Friend Who Crossed the Line 32
My Fierce Tigress Wife,,Novel,Unknown,,,234,,8,,,"chyba skonczone
chyba autor porzucil",1.98. My Fierce Tigress Wife 234  ✓❌? 💯
My Girlfriend From Turquoise Pond Requests My Help After My Millennium Seclusion,,Novel,Completed,,,564,,,,,,1.99. My Girlfriend From Turquoise Pond Requests My Help After My Millennium Seclusion 564 ✓
My Girlfriend is a Villain,,Manga,Reading,,,96,,,,,,305. My Girlfriend is a Villain 96
My Girlfriend is a zombie,,Novel,Reading,,,339,p1,,,,,1.8. My Girlfriend is a zombie 339 (p1)
My Girlfriend is a Zombie,,Manga,Reading,,,42,,,2,,,287.My Girlfriend is a Zombie 42 ~? 🌟 🌟
My Girlfriend is Long Aotian,,Manga,Reading,,,20,,,,,,442. My Girlfriend is Long Aotian 20
My Girlfriend is Really a Superstar,,Novel,Reading,,,23,,,,,,1.27. My Girlfriend is Really a Superstar 23
My Great Sword,,Manga,Reading,,,61,,,,,release_frequency=~2,101.My Great Sword 61 ~2
My High School Bully,,Manhwa,Reading,h-manhwa,,18,,,3,,,1.1.23 My High School Bully 18 ⭐ ⭐ ⭐
My Hollywood System,,Novel,Reading,,,118,,,,,,1.80. My Hollywood System 118
My House is a Magic Power Spot,,Manga,Reading,,,30,29,,1,,release_frequency=~11,134.My House is a Magic Power Spot 29 (30) ~11 🌟
My Husband Hides His Beauty,,Manga,Reading,,,29,,,,,,371. My Husband Hides His Beauty 29
My Japanese Sisters,,Manga,Reading,,,26,,,1,,release_frequency=~3,99.My Japanese Sisters 26 ~3 🌟
My Kingdom  (Silent War),,Manhwa,Completed,h-manhwa,161,161,,,,,,1.1.42  My Kingdom (Silent War) 160.5  (161) ✓
My Kingdom (Silent War),,Manhwa,Completed,h-manhwa,161,161,,,,,,1.1.42  My Kingdom (Silent War) 160.5  (161) ✓
My Landlady Noona,,Manhwa,Reading,h-manhwa,,59,,,,,,1.1.38 My Landlady Noona 59
My Little Monster,,Manga,Completed,,52,52,,,,,,90.My Little Monster 52 ✓
My Maid is a Demon,,Manga,Reading,,,77,,,,,,285.My Maid is a Demon 77 ~?
My Naughty Sweetheart,,Manga,Reading,,,52,,,1,,release_frequency=~8,200.My Naughty Sweetheart 52 ~8 🌟
My Room Has Become a Dungeon's Rest Area,,Manga,Reading,,,17,16,,,,,142.My Room Has Become a Dungeon's Rest Area 16 (17)
My secret brother,,Manga,Reading,,,188,,,,,,17.My secret brother 188
My Sister's Friend,,Manhwa,Reading,h-manhwa,,36,,8,1,,,1.1.45 My Sister's Friend 36 💯 ⭐
My Three Thousand Years To The Sky,,Manga,Reading,,,224,,,,,,467. My Three Thousand Years To The Sky 224
My Three Wives Are Beautiful Vampires,,Novel,Reading,,,611,,,2,,,1.113. My Three Wives Are Beautiful Vampires 611 ⭐⭐
My Wife is a Beautiful CEO,,Novel,Reading,,,837,,,,,release_frequency=~2,1.13.My Wife is a Beautiful CEO 837 ~2
My Wife is a Demon Queen,,Manga,Reading,,,274,,8,2,,release_frequency=~2,156.My Wife is a Demon Queen 274 ~2 🌟🌟💯
My Wife is a Fox Spirit,,Manga,Reading,,,12,,,,,,356. My Wife is a Fox Spirit 12
My Wife is A Sword God,,Novel,Reading,,,838,,,,,,1.173. My Wife is A Sword God 838
My Wife Is Actually the Empress?,,Manga,Reading,,,36,,,,,,336. My Wife Is Actually the Empress? 36
My Yandere Succubus Daughter is Mommy-Warrior's Natural Enemy,,Novel,Reading,,,400,v5c42,,,,,1.18.My Yandere Succubus Daughter is Mommy-Warrior's Natural Enemy (v5c42) 400
MZ,,Manga,Reading,,,23,,,,,,222.MZ 23 ~?
Märchen - The Embodiment of Tales,,Manga,Reading,,,107,,,,,,124.Märchen - The Embodiment of Tales 107
Nageki no Bourei wa Intai Shitai - Saijiyaku Hanta ni Yoru Saikiyou Patei Ikusei Jutsu,,Manga,Reading,,,24,,,,,,423. Nageki no Bourei wa Intai Shitai - Saijiyaku Hanta ni Yoru Saikiyou Patei Ikusei Jutsu 24
Naked Sword Art,,Novel,Reading,,,293,,,,,,1.40.Naked Sword Art 293
Nano Machine,,Manga,Reading,,,79,,,1,,,456. Nano Machine 79 ⭐
Necromancer Maid,,Manga,Reading,,,12,,,,,,355. Necromancer Maid  12
Necropolis Immortal,,Novel,Reading,,,1774,,,,,,1.109. Necropolis Immortal 1774
Negative Hero and the Demon Lord Army Leader,,Manga,Reading,,,18,,,1,,,334. Negative Hero and the Demon Lord Army Leader 18 ⭐
Never Die Extra,,Novel,Completed,,,500,,8,,,,1.74. Never Die Extra 500  ✓ 💯
New Life As An Ecchi Girl With A “Big Surprise”,,Novel,Reading,,,395,,,,,,1.79. New Life As An Ecchi Girl With A “Big Surprise” 395
Nidome no Jinsei wo Isekai de,,Manga,Reading,,,43,32,,,,release_frequency=~25,112.Nidome no Jinsei wo Isekai de 32 (43) ~25
Nidome no Yuusha,,Manga,Reading,,,8,,,,,release_frequency=~60,153.Nidome no Yuusha 8 ~60
Ninja Girls,,Manga,Completed,,43,43,,,,,"chyba skonczone
nie wiadomo co dalej z manga",264.Ninja Girls 43 ✓? (nie wiadomo co dalej z manga)
Ninja Shinobu-chan no Junjou,,Manga,Completed,,,30,,,,,,58.Ninja Shinobu-chan no Junjou 30 ✓
Nonbiri VRMMOki,,Manga,Reading,,,32,,,,,,33.Nonbiri VRMMOki 32
Oh! Holy,,Manga,Completed,,141,141,,,,,,206.Oh! Holy 141 ✓
Omaera Zenin Mendokusai!,,Manga,Reading,,,50,45,,,,release_frequency=~30,145.Omaera Zenin Mendokusai! 45 (50) ~30
Omniscient First-Person's Viewpoint,,Novel,Reading,,,75,,,,,nie mylić z viewers,1.150. Omniscient First-Person's Viewpoint 75 (nie mylić z viewers)
Omniscient Reader’s Viewpoint,,Manga,Reading,,,69,,8,1,,,373. Omniscient Reader’s Viewpoint  69 💯 ⭐
"On the Way Home I Got a Bride and Twin Daughters, Who Were Dragons",,Novel,Reading,,,48,,,,,,"1.10.On the Way Home I Got a Bride and Twin Daughters, Who Were Dragons 48"
"On The Way Home, I Got A Bride And Twin Daughters, But They Were Dragons",,Manga,Reading,,,7,6,,1,,release_frequency=~34,"83.On The Way Home, I Got A Bride And Twin Daughters, But They Were Dragons 6 (7) ~34 🌟"
One Step Toward Freedom,,Manga,Reading,,,42,,,,,,476. One Step Toward Freedom 42
Ore wo Suki Nano wa Omae Dake ka yo,,Manga,Reading,,,22,19,,,,,141.Ore wo Suki Nano wa Omae Dake ka yo 19 (22)
Orenchi ni Kita Onna Kishi to: Inakagurashi suru Koto ni Natta Ken,,Manga,Reading,,,28,26,,,,release_frequency=~18,149.Orenchi ni Kita Onna Kishi to: Inakagurashi suru Koto ni Natta Ken 26 (28) ~18
"Oroka na Tenshi wa Akuma to Odoru 22 ,",,Manga,Reading,,,24,,,2,,release_frequency=~26,"132.Oroka na Tenshi wa Akuma to Odoru 22 (24) ~26, 🌟 🌟"
Osananajimi ni najimitai,,Manga,Reading,,,39,17,,,,release_frequency=~36,160.Osananajimi ni najimitai 17 (39) ~36
Otherworldy evil monarch,,Novel,Reading,,,1043,,,,,,1.16.Otherworldy evil monarch 1043
Our Relationship Is...,,Manga,Completed,,,118,,8,,,,78.Our Relationship Is... 118 ✓ 💯
"Pajama Onagokai, Sounyuuchuu!? ~ Mei ni Yokujou Nanka Shinaitte Itteta Kuse ni... tsu!",,Manhwa,Reading,h-manhwa,,13,,,,,no ntr,"1.1.26 Pajama Onagokai, Sounyuuchuu!? ~ Mei ni Yokujou Nanka Shinaitte Itteta Kuse ni... tsu! 13(no ntr)"
Parallel Paradise,,Manga,Reading,,,83,80,,,,release_frequency=~10,117.Parallel Paradise 80 (83) ~10
Parasite (Gu) Breeding Longveity Path: Starting from the love-enamored Gu,,Novel,Reading,,,1360,ch464p4,,,,,1.197. Parasite (Gu) Breeding Longveity Path: Starting from the love-enamored Gu 1360 (ch464p4)
Pashiri na Boku to Koi suru Banchou-san,,Manga,Completed,,77,77,,,,,,107.Pashiri na Boku to Koi suru Banchou-san 77 ✓
Path of the Shaman,,Manga,Reading,,,40,,,1,,,329. Path of the Shaman 40 ⭐
Peerless Genius System,,Novel,Completed,,,859,,,,,,1.61. Peerless Genius System 859 ✓
Perfect Mine,,Manga,Reading,,,10,,,,,,365. Perfect Mine 10
Peter Grill to Kenja no Jikan,,Manga,Reading,,,17,,,,,release_frequency=~38,163.Peter Grill to Kenja no Jikan 17 ~38
Phase /NSFW,,Manga,Reading,,,42,36,,,,,55.Phase /NSFW 36 (42)
Pheromone Holic,,Manhwa,Completed,h-manhwa,53,53,,8,,,,1.1.8 Pheromone Holic 53 ✓ 💯
Picked Up A Little Fox,,Manga,Reading,,,28,27,,1,,release_frequency=~7,201.Picked Up A Little Fox 28 (27) ~7 🌟
picking up a shool beauty to be wife,,Manga,Reading,,,98,,,,,,385. picking up a shool beauty to be wife 98
Player Who Can't Level Up,,Manga,Reading,,,26,,,,,,472. Player Who Can't Level Up 26
"Please don't bully me, Nagatoro",,Manga,Reading,,,56,36,,1,,release_frequency=~10,"72.Please don't bully me, Nagatoro 36 (56)  🌟 ~10"
"Please Go Home, Akutsu-San!",,Manga,Reading,,,83,,,,,,"376. Please Go Home, Akutsu-San! 83"
Please i really didn't want to fall in love with my master,,Novel,Reading,,,139,,,,,,1.89. Please i really didn't want to fall in love with my master 139
Please Take My Brother Away!,,Manga,Reading,,,42,40.5,,,,release_frequency=~11,188.Please Take My Brother Away! 40.5 (42) ~11
"Please, Don't Livestream It!",,Manga,Reading,,,21,,,,,,"395. Please, Don't Livestream It! 21"
Plunderer,,Manga,Reading,,,48,,,,,release_frequency=~30,186.Plunderer 48 ~30
Post-apocalyptic Dispatch Company,,Manga,Reading,,,40,,,,,,431. Post-apocalyptic Dispatch Company 40
Premarital Relationship,,Manga,Reading,,,60,,,,,,93.Premarital Relationship 60 ~?
Priceless Baby's Sugar Daddy,,Novel,Reading,,,400,,,,,,1.20. Priceless Baby's Sugar Daddy  400
Pride Complex,,Manga,Completed,,55,55,,4,,,gówniane zakonczenie,202.Pride Complex 30 (55) ✓ 💩(zakonczenie)
Prison School,,Manga,Completed,,278,278,,8,,,,214.Prison School  277.5 (278) ✓ 💯
Private Tutoring in These Trying Times,,Manhwa,Reading,h-manhwa,,30,,,,,,1.1.48 Private Tutoring in These Trying Times 30
Profane Prince of Domination,,Novel,Reading,,,511,,,,,,1.41. Profane Prince of Domination 511
"Professor President,Come On",,Manga,Reading,,,25,,,,,,"270.Professor President,Come On 25 ~?"
Promised Orchid,,Manga,Reading,,,88,,8,1,,,322. Promised Orchid 88 💯 ⭐
Pseudo Resident's Illegal Stay In Another World,,Novel,Reading,,,75,,,,,,1.128. Pseudo Resident's Illegal Stay In Another World 75
Psycho Revenge,,Manga,Reading,,,29,,,1,,,393. Psycho Revenge 29 ⭐
Pulseless Girlfriend,,Manga,Reading,,,8,,,,,,209.Pulseless Girlfriend 8 ~?
Punishments for Bad Girls,,Manhwa,Reading,h-manhwa,,30,,,,,,1.1.64 Punishments for Bad Girls 30
Pure Love X Insult,,Novel,Reading,,,97,,,,,not more than 100at time,1.54.Pure Love X Insult 97 (not more than 100at time)
Que Sera Sera,,Manga,Completed,,72,72,,,,,,36.Que Sera Sera 70 (72) ✓
Rain (Megumi Sumikawa),,Manga,Reading,,,89,,,1,,Megumi Sumikawa,185.Rain (Megumi Sumikawa) 89 ~? 🌟
Raisekamika,,Manga,Reading,,,37,26,,1,,release_frequency=~13,108.Raisekamika 26 (37) ~13 🌟
Real Account,,Manga,Reading,,,76,88,,,,release_frequency=~22,180.Real Account 76 (88) ~22
Real Man,,Manga,Reading,,,59,,,,,,511. Real Man 59
Rebirth of the Eternal Cultivator,,Manga,Reading,,,60,,,,,,300. Rebirth of the Eternal Cultivator 60
Rebirth of the Nameless Immortal God,,Novel,Reading,,,1008,,,,,,1.117. Rebirth of the Nameless Immortal God 1008
Rebirth of the Top Villain,,Manga,Reading,,,10,,,,,,481. Rebirth of the Top Villain 10
Red Packet Server,,Novel,Reading,,,1006,,4,,,triggering,1.45.Red Packet Server 1006 💩 (triggering)
Red spirit,,Manga,Reading,,,78,,,,,,8.Red spirit 78
Regressor Instruction Manual,,Novel,Reading,,,567,,,,,bohater zaczyna wkurwiac,1.66. Regressor Instruction Manual 567 (bohater zaczyna wkurwiac)
Reincarnation Cycle,,Manga,Reading,,,137,,8,1,,,315. Reincarnation Cycle 137 💯 ⭐
Reincarnation–The Divine Doctor and Stay-at-home Dad,,Novel,Reading,,,614,,,,,,1.53.Reincarnation–The Divine Doctor and Stay-at-home Dad 614
Relase That Witch,,Manga,Reading,,,65,,,2,,release_frequency=~3,225.Relase That Witch 65 ~3 🌟 🌟
Renegade immortal,,Manga,Reading,,,93,,,,,,13.Renegade immortal 93
Reporting For Duty Ma'am,,Manhwa,Reading,h-manhwa,,15,,8,2,,,1.1.34 Reporting For Duty Ma'am 15 💯⭐⭐
Return of Immortal Emperor,,Manga,Reading,,,98,,,,,,492. Return of Immortal Emperor 98
Return of the 8th Class Magician,,Manga,Reading,,,31,,,,,,400. Return of the 8th Class Magician 31
Return of The Bachelor,,Manga,Reading,,,59,,,,,,437. Return of The Bachelor 59
Return of the Disaster class hero,,Manga,Reading,,,26,,,,,,506. Return of the Disaster class hero 26
Return Survival,,Manga,Reading,,,33,,,,,,292. Return Survival 33
Returnee’s Life Report,,Novel,Reading,,,96,,,,,,1.86. Returnee’s Life Report 96
Returning Girlfriend,,Manhwa,Completed,h-manhwa,25,25,,3,,,"ntr,po prostu gowno z rushowanym endingiem. Nie oplacalne czytac","1.1.36 Returning Girlfriend 25 ✓ 💩💩 (ntr,po prostu gowno z rushowanym endingiem. Nie oplacalne czytac)"
Revenge of the Iron-blooded Sword Hound,,Novel,Reading,,,299,,,,,,1.163. Revenge of the Iron-blooded Sword Hound 299
Reverse Villain,,Manga,Reading,,,50,,8,1,,zgubilem  chapter na ktorym bylem,312. Reverse Villain  💯⭐
Revival man,,Manga,Reading,,,73,,,1,,,10.Revival man 73 🌟
Rikei ga Koi ni Ochita no de Shoumei shitemita,,Manga,Reading,,,20,16,,2,,,144. Rikei ga Koi ni Ochita no de Shoumei shitemita 16 (20) 🌟 🌟
Rise of The Demon God,,Novel,Completed,,,1587,,,1,,,1.187. Rise of The Demon God 1587 ✓ ⭐
Rise of the Demon King,,Manga,Reading,,,184,,,1,,,350. Rise of the Demon King 184 ⭐
Rodiura Kurashi,,Manga,Reading,,,20,15.9,,,,,126.Rodiura Kurashi 15.9 (20)
Rosario To Vampire,,Manga,Reading,,,41,40.5,,,,,507. Rosario To Vampire 40.5 (41)
Rosario to Vampire II,,Manga,Reading,,,67,,,,,,509. Rosario to Vampire II 67
Rules for Peddling in Another World,,Manga,Reading,,,69,,,,,,402. Rules for Peddling in Another World 69
Saenai Riman to Yankee Joshi Kousei,,Manga,Reading,,,21,,,,,,424. Saenai Riman to Yankee Joshi Kousei 21
School Flower Master,,Manga,Reading,,,55,,,,,,341. School Flower Master 55
School Shock,,Manga,Reading,,,71,27.1,,,,,261.School Shock 27.1 (71) ~?
Scum and Glasses and Literature Girl (Fake),,Manga,Reading,,,197,194,,,,release_frequency=~8,81.Scum and Glasses and Literature Girl (Fake) 194 (197) ~8
Second Life of a Gangster,,Manga,Reading,,,30,,,,,,332. Second Life of a Gangster 30
Secret Class,,Manhwa,Reading,h-manhwa,,73,,,2,,no ntr,1.1.16 Secret Class 73 ⭐🌟 (no ntr)
Seeking the Dao in the Seemingly Mundane Mortal World,,Novel,Reading,,,60,,,,,,1.103. Seeking the Dao in the Seemingly Mundane Mortal World 60
Sekkaku Cheat wo Moratte Isekai ni Teni,,Manga,Reading,,,10,,,,,,140.Sekkaku Cheat wo Moratte Isekai ni Teni  10
