primaryTitle,authorName,contentType,status,tags,totalChapters,currentChapterNumber,currentChapterLabel,rating,priority,description,notes,rawImportedLine
Evil Dragon Reincarnation,,Manga,Reading,,,22,20.2,,,,,114.Evil Dragon Reincarnation 20.2 (22)
"Excuse Me, This is my Room",,Manhwa,Reading,h-manhwa,,47,,,1,,no ntr atm,"1.1.22 Excuse Me, This is my Room 47 ⭐ (no ntr atm)"
Exorcist and Devil-chan,,Manga,Reading,,,24,20,,,,release_frequency=~20,148.Exorcist and Devil-chan 20 (24) ~20
Falling in Love with the Villainess,,Novel,Reading,,,75,v2c41,,,,,1.70. Falling in Love with the Villainess v2c41 (75)
Farming Life in Another World,,Manga,Reading,,,74,,,,,,40.Farming Life in Another World 74
Fated To Be Loved By Villains,,Novel,Reading,,,130,,,,,,1.169. Fated To Be Loved By Villains 130
Female Cultivators are After Me,,Manga,Reading,,,34,,8,,,,361. Female Cultivators are After Me 34 💯
FFF-class Trash Hero,,Manga,Reading,,,81,,8,,,,333. FFF-class Trash Hero 81 💯
Fitness,,Manhwa,Reading,h-manhwa,,79,,8,1,,,1.1.37 Fitness 79 💯 ⭐
Flow,,Manga,Completed,,104,104,,,,,,18.Flow 102 (104) ✓
Flower Stealing Master,,Novel,Reading,,,2126,,,,,,1.122. Flower Stealing Master 2126
Forced to Become the Villain’s Son-in-law,,Manga,Reading,,,170,,8,2,,,302. Forced to Become the Villain’s Son-in-law 170 💯 ⭐ ⭐
Forever Mine,,Manga,Completed,,,74,,,,,,79.Forever Mine 74 ✓
Free Draw,,Manga,Reading,,,33,,,1,,,199.Free Draw 33 ~? 🌟
From the Grave and Back,,Manga,Reading,,,83,,,,,,497. From the Grave and Back 83
Fudatsuki no Kyoko-chan,,Manga,Completed,,,44,,,,,,48.Fudatsuki no Kyoko-chan 44 ✓
"Fukushuu o Koinegau Saikyou Yuusha wa, Yami no Chikara de Senmetsu Musou Suru",,Manga,Reading,,,41,,,,,,"409. Fukushuu o Koinegau Saikyou Yuusha wa, Yami no Chikara de Senmetsu Musou Suru 41"
Futsuu ni Naritai,,Manga,Reading,,,78,77,,,,release_frequency=~8,66.Futsuu ni Naritai 77 (78) ~8
Gal Gohan,,Manga,Reading,,,47,,,,,,73.Gal Gohan 47
Gang of School,,Manga,Reading,,,7,,,,,,308. Gang of School 7
Gangam Dokkaebi,,Manga,Reading,,,30,,,1,,,339. Gangam Dokkaebi 30 ⭐
Genjitsushugisha no Oukokukaizouki,,Manga,Reading,,,32,,,,,,384. Genjitsushugisha no Oukokukaizouki 32
Girlfriend Who Absolutely Doesn’t Want to Take a Bath VS Boyfriend Who Absolutely Wants Her to Take a Bath,,Manga,Reading,,,27,26.5,,,,,434.  Girlfriend Who Absolutely Doesn’t Want to Take a Bath VS Boyfriend Who Absolutely Wants Her to Take a Bath 26.5 (27)
God and Devil world,,Novel,Reading,,,1213,,,,,,1.23.God and Devil world 1213
God of Blackfield,,Manga,Reading,,,103,,,,,,498. God of Blackfield 103
God of Lust,,Novel,Reading,,,101,,,1,,,1.37.God of Lust 101 🌟
God Slayer,,Manga,Reading,,,93,,,1,,,319. God Slayer 93 ⭐
Goddess's Personal Doctor,,Manga,Reading,,,27,,,,,,357. Goddess's Personal Doctor 27
Godly Stay-Home Dad,,Novel,Reading,,,345,,,,,,1.15.Godly Stay-Home Dad 345
Grasping Evil,,Novel,Reading,,,513,,,,,,1.65. Grasping Evil 513
Great Demon King,,Novel,Reading,,,742,,,,,,1.3.Great Demon King 742
Greatest Boss System,,Manga,Reading,,,110,,,,,,377. Greatest Boss System 110
Greatest Outcast,,Manga,Completed,,81,81,,8,,,,1.Greatest Outcast  68 (81) ✓💯
Green Skin,,Novel,Reading,,,199,,,,,,1.73. Green Skin 199
Gun x Clover,,Manga,Reading,,,55,,,,,release_frequency=~90,92.Gun x Clover 55 ~90
"Gun-Ota ga Mahou Sekai ni Tensei shitara, Gendai Heiki de Guntai Harem wo Tsukucchaimashita!?",,Manga,Reading,,,31,,,,,,"166.Gun-Ota ga Mahou Sekai ni Tensei shitara, Gendai Heiki de Guntai Harem wo Tsukucchaimashita!? 31 ~?"
Hail the king,,Novel,Completed,,1700,1700,,8,,,,1.47.Hail the king 1275.4  (1700) 💯 ✓
Hajimete no Gal,,Manga,Reading,,,78,,,1,,release_frequency=~33,94.Hajimete no Gal 78 ~33 🌟
Hakase to Suraimu-chan,,Manga,Completed,,75,75,,,,,,105.Hakase to Suraimu-chan 75 ✓
Hakoiri Drops,,Manga,Completed,,89,89,,4,,,nudzace i monotonne,221.Hakoiri Drops 80.4 (89) ✓ 💩 (nudzace i monotonne)
Handling the Demoness and Saintess,,Manga,Reading,,,53,,,,,,440.  Handling the Demoness and Saintess 53
Happiness (Shuzo Oshimi),,Manga,Completed,,50,50,,,,,,89.Happiness (Shuzo Oshimi) 50 ✓
"Heaven, Earth, Me",,Novel,Reading,,,66,,,,,,"1.81. Heaven, Earth, Me 66"
Heavenly Martial God,,Manga,Reading,,,65,,,,,,447. Heavenly Martial God 65
Hedonist Sovereign,,Novel,Reading,,,1283,,,,,,1.49. Hedonist Sovereign 1283
Her Summon,,Manga,Reading,,,62,,,2,,,234.Her Summon 62 ~? 🌟 🌟
Hero Manager,,Manhwa,Reading,h-manhwa,,23,,,3,,no ntr,1.1.20 Hero Manager 23 🌟⭐ ⭐ (no ntr)
Hero Waltz,,Manga,Reading,,,59,54,,,,release_frequency=~7,97.Hero Waltz 54 (59) ~7
Hey boy! Let's take a break.,,Manga,Reading,,,5,,,,,release_frequency=~21,143.Hey boy! Let's take a break. 5 ~21
Hibi Chouchou,,Manga,Completed,,86,86,,,,,,88.Hibi Chouchou 75.8 (86) ✓
High Risk Mission Therapy,,Manga,Completed,,75,75,,,,,,120.High Risk Mission Therapy 60 (75) ✓
Hiraheishi wa Kako wo Yumemiru,,Manga,Reading,,,33,,,,,,257.Hiraheishi wa Kako wo Yumemiru 33 ~?
Hirasaka Hinako ga Ero Kawaii koto wo Ore dake ga Shitteiru,,Manga,Reading,,,27,,,,,,405. Hirasaka Hinako ga Ero Kawaii koto wo Ore dake ga Shitteiru 27
His Barcode Tattoo,,Manga,Reading,,,42,,,1,,,215.His Barcode Tattoo 42 ~? 🌟
History of Three States,,Manga,Reading,,,15,,,,,,466. History of Three States 15
History's Greatest Husband,,Novel,Completed,,,684,,4,1,,"mieszane uczucia. Niesamowita, ale ostatnie 100 rozdziałów i ending zjebane","1.95. History's Greatest Husband 684 ✓ ⭐ 💩 (mieszane uczucia. Niesamowita, ale ostatnie 100 rozdziałów i ending zjebane)"
Hitman (Kouji Seo),,Manga,Reading,,,40,42,,,,release_frequency=~12,161.Hitman (Kouji Seo) 40 (42) ~12
Holy Ancestor,,Manga,Reading,,,120,,,,,,24.Holy Ancestor 120
Holy Necromancer: Rebirth of the Strongest Mage,,Novel,Reading,,,392,,,,,,1.116. Holy Necromancer: Rebirth of the Strongest Mage 392
Hoozuki-san Chi no Aneki,,Manga,Completed,,33,33,,,,,,37.Hoozuki-san Chi no Aneki 31.6 (33) ✓
Horimiya,,Manga,Reading,,,97,,,1,,,39.Horimiya 97 🌟
"Hoshino, Me o Tsubutte",,Manga,Reading,,,78,73,,,,release_frequency=~35,"131.Hoshino, Me o Tsubutte 73 (78) ~35"
House Dad's Literary Life,,Novel,Reading,,,175,,,,,,1.106. House Dad's Literary Life 175
