primaryTitle;contentType;status;contentTypeId;statusId;authorId;authorName;alternativeTitles;genreIds;tags;totalChapters;currentChapterNumber;currentChapterLabel;rating;priority;description;comment;notes;rawImportedLine;links;genres
One Step Toward Freedom;Manhua;Reading;;;;;"[{""Title"":""Du Bu Xiao Yao"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""独步逍遥"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""Free Walker"",""Language"":null,""Source"":""Anime-Planet""}]";;"Manhua; Webtoons; Cultivation; Full Color; Isekai; Person in a Strange World";;42;;;;Nowadays, traveling to Isekai is no longer something special, but what if he's got this perfect timing of landing— He falls right in front of a sect leader who is desperate to find his daughter a fake husband. From time traveling to forced wedding, this is how his path of cultivation starts...;;;476. One Step Toward Freedom 42;"[{""Url"":""https://www.anime-planet.com/manga/peerlessly-carefree"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Adventure; Comedy"
Lust Geass;Manga;Reading;;;;Osamu TAKAHASHI;"[{""Title"":""ラストギアス"",""Language"":null,""Source"":""Anime-Planet""}]";;"Harem; Seinen; Childhood Friends; Curse; School Life";;38;;;;Souta Takatsuki and his neighbor Rikka Amanome have been like brother and sister since they were kids, but his feelings for her run much deeper. With her birthday coming up, he wants to find the perfect gift, which presents itself in the form of a book from a mysterious shop he happens across. The owner doesn't even charge him, saying he'll return to pay eventually...Souta is wholly unprepared for the insatiable passion the book inspires in Rikka, and it seems the ultimate price of this gift may be hefty indeed...;;;477. Lust Geass 38;"[{""Url"":""https://www.anime-planet.com/manga/lust-geass"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Drama; Romance; Supernatural"
Strongest Abandoned Son;Manhua;Reading;;;;Goose Five;"[{""Title"":""最强弃少"",""Language"":null,""Source"":""Anime-Planet""}]";;"Manhua; Cultivation; Full Color; Martial Arts; Xianxia; Based on a Web Novel";;86;;;;"When Ye Mo woke up, he found that everything around him seemed to be changed - The beautiful master disappeared; he became the abandoned oneby the family; even more, he became the object of being humiliated by a woman standing on the podium with his love letter. But these were not important at all. The most important thing was that he remembered another terrible thing that didn't belong to him...";;;478. Strongest Abandoned Son 86;"[{""Url"":""https://www.anime-planet.com/manga/strongest-abandoned-son"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Fantasy"
Tsui No Taimashi;Manga;Reading;;;;Takashi YOMOYAMA;"[{""Title"":""終の退魔師―エンダーガイスター―"",""Language"":null,""Source"":""Anime-Planet""}]";;"Shounen; Exorcists";;55;;;;This protagonist, the most demonically strong exorcist. Akira the S-class exorcist sent from Germany to investigate a paranormal event in a certain city in Japan. He shoots creatures from other worlds with his beautiful exorcist partner Chikage.;;;479. Tsui No Taimashi 55;"[{""Url"":""https://www.anime-planet.com/manga/tsui-no-taimashi-ender-aller-geister"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Supernatural"
Kangoku Jikken;Manga;Reading;;;;Kantetsu;"[{""Title"":""監獄実験"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""Prison Experiment"",""Language"":null,""Source"":""Anime-Planet""}]";;"Seinen; High Stakes Games; Kidnapping; Psychological; Revenge; Adapted to Anime";;63;;;;"On the last day of summer break, Aito Eyama, a high school student crushed by relentless bullying, receives a mysterious letter. It's an invitation to the ""Confinement Game"" - a twisted challenge allowing participants to imprison anyone of their choosing for a month. During this time, anything except murder is permitted against the confined person, and if the captor's identity remains hidden, a substantial reward awaits. Eyama selects Aya Kirishima, the mastermind behind his torment, as his target. Thus begins the young man's dark quest for vengeance.";;;480. Kangoku Jikken 63;"[{""Url"":""https://www.anime-planet.com/manga/prison-lab"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Drama; Horror; Mystery"
Rebirth of the Top Villain;Manhua;Reading;;;;August Eagle;"[{""Title"":""顶级反派大师兄"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""History’s Strongest Senior Brother"",""Language"":null,""Source"":""Anime-Planet""}]";;"Manhua; Webtoons; Full Color; Based on a Web Novel";;10;;;;For the first time, Yan Zhaoge has the equipment of a full-level boss. The second crossing, before the development of the martial arts civilization, was like a person who was used to playing the hell mode and was suddenly thrown into the simple mode. Don’t be too cool! But is this plot wrong? I am not the protagonist? But the villain Gao Fushuai who is competing with the protagonist?;;;481. Rebirth of the Top Villain 10;"[{""Url"":""https://www.anime-planet.com/manga/rebirth-of-the-top-villain"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Fantasy"
I am Supreme Son in Law;Manhua;Reading;;;;;"[{""Title"":""Ji Pin Kuang Xu"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""极品狂婿"",""Language"":null,""Source"":""Anime-Planet""}]";;"Manhua; Webtoons; Full Color";;19;;;;Because of an accident, Lin Huan crossed over to a different world, where he was the son of a wealthy businessman with the same name and surname. Lin Huan from a different world originally had a rich family background, but after Lin Huan was born, it was as if the family was under a spell, their business repeatedly losing money and the family’s situation became worse and worse, and eventually, all of the family’s assets were sold, and even food became a problem. After Lin Huan awoke from his journey, he found himself in the house of his former rival, Su, according to his memory;;;482. I am Supreme Son in Law 19;"[{""Url"":""https://www.anime-planet.com/manga/i-am-a-supreme-son-in-law"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Action; Adventure"
Boy's Abyss;Manga;Reading;;;;Ryo MINENAMI;"[{""Title"":""Shounen no Abyss"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""少年のアビス"",""Language"":null,""Source"":""Anime-Planet""}]";;"Seinen; Age Gap; Dysfunctional Families; Infidelity; Melancholy; Psychological; Student-Teacher Relationship";;69;;;;Reiji’s life is as miserable as the small town he can’t escape. The most interesting thing that’s ever happened there is a double suicide down by the river. Does Reiji have any power over his fate, or will he too fall into the abyss? Reiji’s mother is checked out, he’s stuck caring for his grandmother with dementia, and his childhood friend treats him like a lackey. Then beautiful, big-city pop star Nagi miraculously shows up working the counter at the local convenience store. Reiji is starstruck. When she offers him the ultimate way out of his claustrophobic existence, will he succumb to temptation...?;;;483. Boy's Abyss 69;"[{""Url"":""https://www.anime-planet.com/manga/boys-abyss"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Drama; Mystery; Romance"
Cigarette & Cherry;Manga;Reading;;;;Daishirou KAWAKAMI;"[{""Title"":""シガレット＆チェリー"",""Language"":null,""Source"":""Anime-Planet""}]";;"Seinen; Cafe; Coffee; College; Food and Beverage; School Life; Senpai-Kouhai Relationship";;29;;;;Cool beauty senpai x virgin-kun kouhai?! Aiming to get a girlfriend with his college debut, what appeared before Kouhai-kun was a beautiful, smoker Senpai?!;;;484. Cigarette & Cherry 29;"[{""Url"":""https://www.anime-planet.com/manga/cigarette-and-cherry"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Comedy; Drama; Romance"
Kenja ga Nakama ni Natta;Manga;Reading;;;;Azu;"[{""Title"":""A Saint Joined My Party!"",""Language"":null,""Source"":""Anime-Planet""},{""Title"":""賢者が仲間になった！"",""Language"":null,""Source"":""Anime-Planet""}]";;"Shounen; Saints";;29;;;;High-school student Suou Amadera has gone big brain and quit real life! Why waste time and money on real friends when you can browse the internet all day, every day? But suddenly, a mysterious girl appears, and with her saintly patience she shows Suou that maybe, friends in real life aren't so bad after all...;;;485. Kenja ga Nakama ni Natta 29;"[{""Url"":""https://www.anime-planet.com/manga/kenja-ga-nakama-ni-natta"",""Label"":""Anime-Planet"",""SourceType"":""Anime-Planet"",""IsPrimary"":true,""LastReadHere"":false}]";"Comedy; Romance"
