primaryTitle;contentType;status;contentTypeId;statusId;authorId;authorName;alternativeTitles;genreIds;tags;totalChapters;currentChapterNumber;currentChapterLabel;rating;priority;description;comment;notes;rawImportedLine;links;genres
To Be a Power in the Shadows!;Novel;Reading;;;;;;;;;133;;;;;;;1.1.To Be a Power in the Shadows! 133;"[{""Url"":""https://www.novelupdates.com/series/to-be-a-power-in-the-shadows/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Against the gods;Novel;Reading;;;;;;;;;1475;;;;;;;1.2.Against the gods 1475;"[{""Url"":""https://www.novelupdates.com/series/against-the-gods/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Great Demon King;Novel;Reading;;;;;;;;;742;;;;;;;1.3.Great Demon King 742;"[{""Url"":""https://www.novelupdates.com/series/great-demon-king/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Womanizing Mage;Novel;Reading;;;;;;;;;655;;;;;;;1.4.Womanizing Mage 655;"[{""Url"":""https://www.novelupdates.com/series/womanizing-mage/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
I Shall Seal The Heavens;Novel;Completed;;;;;;;;;1614;;9;;;;;1.5.I Shall Seal The Heavens 1614 ✓ 💯 💯;"[{""Url"":""https://www.novelupdates.com/series/i-shall-seal-the-heavens/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
My Entire Class Was Summoned to Another World except for Me;Novel;Reading;;;;;;;;;167;166;;;;;;1.6.My Entire Class Was Summoned to Another World except for Me 166 (167);"[{""Url"":""https://www.novelupdates.com/series/my-entire-class-was-summoned-to-another-world-except-for-me/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
I Have a Mansion in the Post-apocalyptic World;Novel;Reading;;;;;;;;;819;;;;;;release_frequency=~3;1.7.I Have a Mansion in the Post-apocalyptic World 819 ~3;"[{""Url"":""https://www.novelupdates.com/series/i-have-a-mansion-in-the-post-apocalyptic-world/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
My Girlfriend is a zombie;Novel;Reading;;;;;;;;;339;p1;;;;;;1.8. My Girlfriend is a zombie 339 (p1);"[{""Url"":""https://www.novelupdates.com/series/my-girlfriend-is-a-zombie/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
I'm the Evil Lord of an Intergalactic Empire!;Novel;Reading;;;;;;;;;60;;;;;;;1.9.I'm the Evil Lord of an Intergalactic Empire! 60;"[{""Url"":""https://www.novelupdates.com/series/im-the-evil-lord-of-an-intergalactic-empire/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
On the Way Home I Got a Bride and Twin Daughters, Who Were Dragons;Novel;Reading;;;;;;;;;48;;;;;;;1.10.On the Way Home I Got a Bride and Twin Daughters, Who Were Dragons 48;"[{""Url"":""https://www.novelupdates.com/series/on-the-way-home-i-got-a-bride-and-twin-daughters-who-were-dragons/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Super Soldier;Novel;Reading;;;;;;;;;110;;;;;;release_frequency=~1;1.11.Super Soldier 110 ~1;"[{""Url"":""https://www.novelupdates.com/series/super-soldier/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Everyone Else is a Returnee;Novel;Completed;;;;;;;;;348;ex4;8;;;;;1.12.Everyone Else is a Returnee 348 (ex4) ✓ 💯;"[{""Url"":""https://www.novelupdates.com/series/everyone-else-is-a-returnee/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
My Wife is a Beautiful CEO;Novel;Reading;;;;;;;;;837;;;;;;release_frequency=~2;1.13.My Wife is a Beautiful CEO 837 ~2;"[{""Url"":""https://www.novelupdates.com/series/my-wife-is-a-beautiful-ceo/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Urban Banished Immortal;Novel;Reading;;;;;;;;;166;;;;;;1.11.19;1.14.Urban Banished Immortal 166 (1.11.19);"[{""Url"":""https://www.novelupdates.com/series/urban-banished-immortal/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Godly Stay-Home Dad;Novel;Reading;;;;;;;;;345;;;;;;;1.15.Godly Stay-Home Dad 345;"[{""Url"":""https://www.novelupdates.com/series/godly-stay-home-dad/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Otherworldy evil monarch;Novel;Reading;;;;;;;;;1043;;;;;;;1.16.Otherworldy evil monarch 1043;"[{""Url"":""https://www.novelupdates.com/series/otherworldy-evil-monarch/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Beauty and Bodyguard;Novel;Reading;;;;;;;;;927;;;;;;;1.17.Beauty and Bodyguard 927;"[{""Url"":""https://www.novelupdates.com/series/beauty-and-bodyguard/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
My Yandere Succubus Daughter is Mommy-Warrior's Natural Enemy;Novel;Reading;;;;;;;;;400;v5c42;;;;;;1.18.My Yandere Succubus Daughter is Mommy-Warrior's Natural Enemy (v5c42) 400;"[{""Url"":""https://www.novelupdates.com/series/my-yandere-succubus-daughter-is-mommy-warriors-natural-enemy/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
108 Maidens of destiny;Novel;Reading;;;;;;;;;521;;;;;;;1.19. 108Maidens of destiny 521;"[{""Url"":""https://www.novelupdates.com/series/108-maidens-of-destiny/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Priceless Baby's Sugar Daddy;Novel;Reading;;;;;;;;;400;;;;;;;1.20. Priceless Baby's Sugar Daddy  400;"[{""Url"":""https://www.novelupdates.com/series/priceless-babys-sugar-daddy/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Valhalla Saga;Novel;Completed;;;;;;;;;261;vE4;8;;;;;1.21. Valhalla Saga 261 (vE4) ✓ 💯;"[{""Url"":""https://www.novelupdates.com/series/valhalla-saga/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Immortal Becomes a Stay-at-home Dad After Return;Novel;Reading;;;;;;;;;209;;;;;;;1.22.Immortal Becomes a Stay-at-home Dad After Return 209;"[{""Url"":""https://www.novelupdates.com/series/immortal-becomes-a-stay-at-home-dad-after-return/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
God and Devil world;Novel;Reading;;;;;;;;;1213;;;;;;;1.23.God and Devil world 1213;"[{""Url"":""https://www.novelupdates.com/series/god-and-devil-world/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Assassin Landlord & Beauty Tenants;Novel;Reading;;;;;;;;;49;;;;;;;1.24.Assassin Landlord & Beauty Tenants 49;"[{""Url"":""https://www.novelupdates.com/series/assassin-landlord-beauty-tenants/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Shura's Wrath;Novel;Completed;;;;;;;;;850;;9;;;;;1.25.Shura's Wrath 850 ✓ 💯 💯;"[{""Url"":""https://www.novelupdates.com/series/shuras-wrath/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
So Pure,So Flirtatious;Novel;Reading;;;;;;;;;1401;;;;;;;1.26.So Pure,So Flirtatious 1401;"[{""Url"":""https://www.novelupdates.com/series/so-pure-so-flirtatious/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
My Girlfriend is Really a Superstar;Novel;Reading;;;;;;;;;23;;;;;;;1.27. My Girlfriend is Really a Superstar 23;"[{""Url"":""https://www.novelupdates.com/series/my-girlfriend-is-really-a-superstar/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Womanizing True Immortal;Novel;Reading;;;;;;;;;137;;;;;;;1.28. Womanizing True Immortal 137;"[{""Url"":""https://www.novelupdates.com/series/womanizing-true-immortal/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Skirt Chasing Young Monarch: City Lady-Killer;Novel;Reading;;;;;;;;;215;;;;;;;1.29.Skirt Chasing Young Monarch: City Lady-Killer 215;"[{""Url"":""https://www.novelupdates.com/series/skirt-chasing-young-monarch-city-lady-killer/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
I Raised an Obsessive Servant;Novel;Reading;;;;;;;;;16;;;;;;;1.30. I Raised an Obsessive Servant 16;"[{""Url"":""https://www.novelupdates.com/series/i-raised-an-obsessive-servant/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
TranXending Vision;Novel;Reading;;;;;;;;;730;;;;;;;1.31. TranXending Vision 730;"[{""Url"":""https://www.novelupdates.com/series/tranxending-vision/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Top Quality Beauty Cultivation System;Novel;Reading;;;;;;;;;70;;;;;;;1.32.Top Quality Beauty Cultivation System 70;"[{""Url"":""https://www.novelupdates.com/series/top-quality-beauty-cultivation-system/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
My Cold and Beautiful CEO;Novel;Reading;;;;;;;;;193;;;;;;;1.33.My Cold and Beautiful CEO 193;"[{""Url"":""https://www.novelupdates.com/series/my-cold-and-beautiful-ceo/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Epoch of Twilight;Novel;Completed;;;;;;;;;593;;;;;;disappointed. Bohater na koniec bogiem,ale bez emocji,laski zginęły;1.34.Epoch of Twilight 593 ✓ (disappointed. Bohater na koniec bogiem,ale bez emocji,laski zginęły);"[{""Url"":""https://www.novelupdates.com/series/epoch-of-twilight/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
You Cannot Afford To Offend My Woman;Novel;Reading;;;;;;;;;111;p2;;1;;;;1.34.You Cannot Afford To Offend My Woman 111 (p2) 🌟;"[{""Url"":""https://www.novelupdates.com/series/you-cannot-afford-to-offend-my-woman/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
My Beatiful Teacher;Novel;Completed;;;;;;;;;2014;;9;;;;;1.35.My Beatiful Teacher  2014 ✓ 💯 💯;"[{""Url"":""https://www.novelupdates.com/series/my-beatiful-teacher/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
The Pleasure Lord;Novel;Reading;;;;;;;;;173;;;;;;;1.36. The Pleasure Lord 173;"[{""Url"":""https://www.novelupdates.com/series/the-pleasure-lord/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
God of Lust;Novel;Reading;;;;;;;;;101;;;1;;;;1.37.God of Lust 101 🌟;"[{""Url"":""https://www.novelupdates.com/series/god-of-lust/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Dual Cultivation;Novel;Reading;;;;;;;;;1015;;;2;;;;1.38. Dual Cultivation 1015 🌟 🌟;"[{""Url"":""https://www.novelupdates.com/series/dual-cultivation/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
The Man from Hell;Novel;Reading;;;;;;;;;266;;;;;;;1.39.The Man from Hell 266;"[{""Url"":""https://www.novelupdates.com/series/the-man-from-hell/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Naked Sword Art;Novel;Reading;;;;;;;;;293;;;;;;;1.40.Naked Sword Art 293;"[{""Url"":""https://www.novelupdates.com/series/naked-sword-art/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Profane Prince of Domination;Novel;Reading;;;;;;;;;511;;;;;;;1.41. Profane Prince of Domination 511;"[{""Url"":""https://www.novelupdates.com/series/profane-prince-of-domination/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
The Sinful Life of The Emperor;Novel;Reading;;;;;;;;;472;;;;;;;1.42. The Sinful Life of The Emperor 472;"[{""Url"":""https://www.novelupdates.com/series/the-sinful-life-of-the-emperor/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
The Empress's Gigolo;Novel;Reading;;;;;;;;;950;;10;;;;;1.43. The Empress's Gigolo 950 💯 💯 💯;"[{""Url"":""https://www.novelupdates.com/series/the-empresss-gigolo/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Mechanical God Emperor;Novel;Reading;;;;;;;;;524;;;;;;;1.44.Mechanical God Emperor 524;"[{""Url"":""https://www.novelupdates.com/series/mechanical-god-emperor/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Red Packet Server;Novel;Reading;;;;;;;;;1006;;4;;;;triggering;1.45.Red Packet Server 1006 💩 (triggering);"[{""Url"":""https://www.novelupdates.com/series/red-packet-server/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
City of Sin;Novel;Completed;;;;;;;;1300;1300;B9;8;;;;;1.46. City of Sin (B9) 146 (1300) 💯 ✓;"[{""Url"":""https://www.novelupdates.com/series/city-of-sin/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Hail the king;Novel;Completed;;;;;;;;1700;1700;;8;;;;;1.47.Hail the king 1275.4  (1700) 💯 ✓;"[{""Url"":""https://www.novelupdates.com/series/hail-the-king/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
The Marquis Eldest Son's Laviscious Story;Novel;Reading;;;;;;;;;74;;;;;;;1.48. The Marquis Eldest Son's Laviscious Story 74;"[{""Url"":""https://www.novelupdates.com/series/the-marquis-eldest-sons-laviscious-story/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Hedonist Sovereign;Novel;Reading;;;;;;;;;1283;;;;;;;1.49. Hedonist Sovereign 1283;"[{""Url"":""https://www.novelupdates.com/series/hedonist-sovereign/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Legend of the Asura;Novel;Completed;;;;;;;;;742;;;;;;;1.50. Legend of the Asura 742 ✓;"[{""Url"":""https://www.novelupdates.com/series/legend-of-the-asura/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
World Defying Dan God;Novel;Reading;;;;;;;;;3667;;;;;;;1.51. World Defying Dan God 3667;"[{""Url"":""https://www.novelupdates.com/series/world-defying-dan-god/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
My Cold and Elegant CEO Wife;Novel;Reading;;;;;;;;;1263;;;;;;;1.52. My Cold and Elegant CEO Wife 1263;"[{""Url"":""https://www.novelupdates.com/series/my-cold-and-elegant-ceo-wife/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Reincarnation-The Divine Doctor and Stay-at-home Dad;Novel;Reading;;;;;;;;;614;;;;;;;1.53.Reincarnation–The Divine Doctor and Stay-at-home Dad 614;"[{""Url"":""https://www.novelupdates.com/series/reincarnation-the-divine-doctor-and-stay-at-home-dad/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Pure Love X Insult;Novel;Reading;;;;;;;;;97;;;;;;not more than 100at time;1.54.Pure Love X Insult 97 (not more than 100at time);"[{""Url"":""https://www.novelupdates.com/series/pure-love-x-insult/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
My Father In Law Is Lu Bu;Novel;Reading;;;;;;;;;345;;;;;;;1.55.My Father In Law Is Lu Bu 345;"[{""Url"":""https://www.novelupdates.com/series/my-father-in-law-is-lu-bu/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Shoujo Grand Summoning;Novel;Reading;;;;;;;;;938;;8;1;;;;1.56. Shoujo Grand Summoning 938 💯⭐;"[{""Url"":""https://www.novelupdates.com/series/shoujo-grand-summoning/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Castle of Black Iron;Novel;Completed;;;;;;;;;2015;;;;;;;1.57.Castle of Black Iron 2015 ✓;"[{""Url"":""https://www.novelupdates.com/series/castle-of-black-iron/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Moon's Labirynth;Novel;Reading;;;;;;;;;291;;;;;;;1.58. Moon's Labirynth 291;"[{""Url"":""https://www.novelupdates.com/series/moons-labirynth/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
The Second Coming of Gluttony;Novel;Completed;;;;;;;;;505;;;;;;;1.59. The Second Coming of Gluttony 505 ✓;"[{""Url"":""https://www.novelupdates.com/series/the-second-coming-of-gluttony/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Keyboard Immortal;Novel;Reading;;;;;;;;;448;;8;2;;;;1.60. Keyboard Immortal 448 💯 ⭐ ⭐;"[{""Url"":""https://www.novelupdates.com/series/keyboard-immortal/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Peerless Genius System;Novel;Completed;;;;;;;;;859;;;;;;;1.61. Peerless Genius System 859 ✓;"[{""Url"":""https://www.novelupdates.com/series/peerless-genius-system/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Immortal;Novel;Reading;;;;;;;;;240;v4c76;;;;;;1.62. Immortal v4c76 (240);"[{""Url"":""https://www.novelupdates.com/series/immortal/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Ending Maker;Novel;Reading;;;;;;;;;256;;9;1;;;;1.63. Ending Maker 256 💯 💯⭐;"[{""Url"":""https://www.novelupdates.com/series/ending-maker/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
I am Gao Fushai Villain;Novel;Reading;;;;;;;;;213;;;;;;;1.64. I am Gao Fushai Villain 213;"[{""Url"":""https://www.novelupdates.com/series/i-am-gao-fushai-villain/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Grasping Evil;Novel;Reading;;;;;;;;;513;;;;;;;1.65. Grasping Evil 513;"[{""Url"":""https://www.novelupdates.com/series/grasping-evil/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Regressor Instruction Manual;Novel;Reading;;;;;;;;;567;;;;;;bohater zaczyna wkurwiac;1.66. Regressor Instruction Manual 567 (bohater zaczyna wkurwiac);"[{""Url"":""https://www.novelupdates.com/series/regressor-instruction-manual/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
SSS-Class Suicide Hunter;Novel;Reading;;;;;;;;;172;;10;;;;;1.67. SSS-Class Suicide Hunter 172 💯 💯 💯;"[{""Url"":""https://www.novelupdates.com/series/sss-class-suicide-hunter/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
The Villainous Daughter's Butler ~I Raised Her to be Very Cute~;Novel;Reading;;;;;;;;;80;v3c8;;;;;;1.68.  The Villainous Daughter’s Butler ~I Raised Her to be Very Cute~ v3c8 (80);"[{""Url"":""https://www.novelupdates.com/series/the-villainous-daughters-butler-i-raised-her-to-be-very-cute/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Codename Vestia;Novel;Reading;;;;;;;;;19;;8;1;;;;1.69. Codename Vestia 19 💯 ⭐;"[{""Url"":""https://www.novelupdates.com/series/codename-vestia/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Falling in Love with the Villainess;Novel;Reading;;;;;;;;;75;v2c41;;;;;;1.70. Falling in Love with the Villainess v2c41 (75);"[{""Url"":""https://www.novelupdates.com/series/falling-in-love-with-the-villainess/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Villager A;Novel;Reading;;;;;;;;;58;;;;;;;1.71. Villager A 58;"[{""Url"":""https://www.novelupdates.com/series/villager-a/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
I've been Reincarnated as Villainess Older Brother;Novel;Reading;;;;;;;;;16;;;;;;;1.71. I've been Reincarnated as Villainess Older Brother 16;"[{""Url"":""https://www.novelupdates.com/series/ive-been-reincarnated-as-villainess-older-brother/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Villainess's Father;Novel;Reading;;;;;;;;;54;;;;;;;1.72. Villainess's Father 54;"[{""Url"":""https://www.novelupdates.com/series/villainesss-father/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Green Skin;Novel;Reading;;;;;;;;;199;;;;;;;1.73. Green Skin 199;"[{""Url"":""https://www.novelupdates.com/series/green-skin/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Never Die Extra;Novel;Completed;;;;;;;;;500;;8;;;;;1.74. Never Die Extra 500  ✓ 💯;"[{""Url"":""https://www.novelupdates.com/series/never-die-extra/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
My Dungeon Life: Rise of the Slave Harem;Novel;Reading;;;;;;;;;191;;;;;;naiwny bohater,więc przerwałem;1.75. My Dungeon Life: Rise of the Slave Harem 191 (naiwny bohater,więc przerwałem);"[{""Url"":""https://www.novelupdates.com/series/my-dungeon-life-rise-of-the-slave-harem/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Man of the House;Novel;Reading;;;;;;;;;46;;;;;;dziwnie się czyta przez zmianę podejść stron;1.76. Man of the House 46 (dziwnie się czyta przez zmianę podejść stron);"[{""Url"":""https://www.novelupdates.com/series/man-of-the-house/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
DREADWOLF;Novel;Reading;;;;;;;;;129;;;;;;;1.77. DREADWOLF 129;"[{""Url"":""https://www.novelupdates.com/series/dreadwolf/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Enslaved Sister Harem;Novel;Reading;;;;;;;;;70;V2c34;;;;;;1.78 Enslaved Sister Harem (V2c34) 70;"[{""Url"":""https://www.novelupdates.com/series/enslaved-sister-harem/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
New Life As An Ecchi Girl With A “Big Surprise”;Novel;Reading;;;;;;;;;395;;;;;;;1.79. New Life As An Ecchi Girl With A “Big Surprise” 395;"[{""Url"":""https://www.novelupdates.com/series/new-life-as-an-ecchi-girl-with-a-big-surprise/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
My Hollywood System;Novel;Reading;;;;;;;;;118;;;;;;;1.80. My Hollywood System 118;"[{""Url"":""https://www.novelupdates.com/series/my-hollywood-system/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Heaven, Earth, Me;Novel;Reading;;;;;;;;;66;;;;;;;1.81. Heaven, Earth, Me 66;"[{""Url"":""https://www.novelupdates.com/series/heaven-earth-me/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
A Cliché Multiverse Story;Novel;Reading;;;;;;;;;144;;;;;;;1.82. A Cliché Multiverse Story 144;"[{""Url"":""https://www.novelupdates.com/series/a-clich-multiverse-story/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Immortal Only Accepts Female Disciples;Novel;Reading;;;;;;;;;402;;;;;;;1.83. Immortal Only Accepts Female Disciples 402;"[{""Url"":""https://www.novelupdates.com/series/immortal-only-accepts-female-disciples/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Cultivation Online;Novel;Reading;;;;;;;;;822;;;;;;;1.84. Cultivation Online 822;"[{""Url"":""https://www.novelupdates.com/series/cultivation-online/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
The Incubus System;Novel;Reading;;;;;;;;;342;;;;;;;1.85. The Incubus System 342;"[{""Url"":""https://www.novelupdates.com/series/the-incubus-system/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
Returnee's Life Report;Novel;Reading;;;;;;;;;96;;;;;;;1.86. Returnee's Life Report 96;"[{""Url"":""https://www.novelupdates.com/series/returnees-life-report/"",""Label"":""NovelUpdates"",""SourceType"":""NovelUpdates"",""IsPrimary"":true,""LastReadHere"":false}]";
